Number,Track 1,Track 2,Artist,Price,Webpage Title,URL
1,Arkansas Traveler/Red River Valley,The Syncopated Clock/Grandfather's Clock,Peter Pan Singers,$0.99,Various – The Syncopated Clock / Grandfather's Clock // Arkansas Traveler / Red River Valley,https://www.discogs.com/release/4777558-Various-The-Syncopated-Clock-Grandfathers-Clock--Arkansas-Traveler-Red-River-Valley
2,Wild Horses,You're a Heartbreaker,Ray Anthony,$1.99,Ray Anthony & His Orchestra – Wild Horses / You're A Heartbreaker,https://www.discogs.com/master/1026652-Ray-Anthony-His-Orchestra-Wild-Horses-Youre-A-Heartbreaker
3,My Birthday Waltz,Balloons, Balloons, Balloons,Dora Hall,$1.00,Dora Hall – Songs From The TV Special Imagine That,https://www.discogs.com/release/2098301-Dora-Hall-Songs-From-The-TV-Special-Imagine-That
4,Son of a Preacher Man,Just a Little Lovin',Dusty Springfield,$1.12,Dusty Springfield – Son-Of-A Preacher Man / Just A Little Lovin' (Early In The Mornin'),https://www.discogs.com/master/87987-Dusty-Springfield-Son-Of-A-Preacher-Man-Just-A-Little-Lovin-Early-In-The-Mornin
5,Who Could Ever Doubt My Love,I Hear a Symphony,The Supremes,$0.75,The Supremes – I Hear A Symphony / Who Could Ever Doubt My Love,https://www.discogs.com/master/256573-The-Supremes-I-Hear-A-Symphony-Who-Could-Ever-Doubt-My-Love
6,When the Saints Go Marching In,The Night Before Christmas,Louis Armstrong,$0.44,Louis Armstrong – The Night Before Christmas,https://www.discogs.com/master/1225467-Louis-Armstrong-The-Night-Before-Christmas
7,I Can Hear You Calling,Joy to the World,Three Dog Night,$0.49,Three Dog Night – Joy To The World / I Can Hear You Calling,https://www.discogs.com/release/2230754-Three-Dog-Night-Joy-To-The-World-I-Can-Hear-You-Calling
8,Travlin' Man,Hey Love,Stevie Wonder,$0.01,Stevie Wonder – Travlin' Man,https://www.discogs.com/master/517527-Stevie-Wonder-Travlin-Man-
9,Playing for Keeps,Too Much,Elvis Presley,$0.82,Elvis Presley With The Jordanaires – Playing For Keeps / Too Much,https://www.discogs.com/master/275372-Elvis-Presley-With-The-Jordanaires-Playing-For-Keeps-Too-Much
10,Let Me In,Oh Yes I'll be True,The Sensations,$0.99,The Sensations (2) – Let Me In / Oh Yes- I'll Be True,https://www.discogs.com/release/3613012-The-Sensations-Let-Me-In-Oh-Yes-Ill-Be-True
11,Do the Boomerang,Tune Up,Junior Walker and the All Stars,$2.00,Jr. Walker And The All Stars* – Do The Boomerang / Tune Up,https://www.discogs.com/master/456274-Jr-Walker-And-The-All-Stars-Do-The-Boomerang-Tune-Up
